,name,rating,avg_salary,jobs,benefits,type_of_company,team_size,how_old,city,positives,negatives
3063,Birla Tyres,3.5,932,0,28,Auto Components,1.0,33,Kolkata,['nan'],"['Promotions / Appraisal', ' Job Security', ' Company Culture']"
3064,Shah Technical Consultants,3.5,840,2,23,Telecom,51.0,15,Mumbai,['nan'],"['Promotions / Appraisal', ' Salary & Benefits', ' Job Security']"
3065,Harsha Engineers,4.0,1600,0,44,Industrial Machinery,501.0,38,Ahmedabad,"['Job Security', ' Skill Development / Learning', ' Work Life Balance']",['Promotions / Appraisal']
3066,Nibav Lifts,3.6,570,18,29,Industrial Machinery,201.0,5,Chennai,['nan'],"['Job Security', ' Work Life Balance']"
3067,International Automotive Components,3.8,1600,5,26,Auto Components,501.0,18,Southfield,['nan'],"['Promotions / Appraisal', ' Salary & Benefits']"
3068,Go Colors,4.0,423,5,10,Fashion & Textile,51.0,14,Chennai,"['Job Security', ' Work Satisfaction', ' Work Life Balance']",['nan']
3069,Citykart Retail,4.0,746,0,27,Retail,1.0,8,New delhi,"['Skill Development / Learning', ' Salary & Benefits', ' Company Culture']",['nan']
3070,L&T–MHI Power Boilers,4.1,1500,0,43,Industrial Machinery,201.0,18,Faridabad,"['Skill Development / Learning', ' Work Life Balance', ' Company Culture']",['Promotions / Appraisal']
3071,Examity,3.3,1500,4,31,EdTech,201.0,11,Needham,['nan'],"['Promotions / Appraisal', ' Salary & Benefits', ' Company Culture']"
3072,Ambuja Neotia,4.1,964,6,26,Real Estate,501.0,34,Kolkata,"['Job Security', ' Work Life Balance', ' Company Culture']",['nan']
3073,NTT Global Networks,4.3,2000,1,47,Hardware & Networking,501.0,24,Greenwood village,"['Job Security', ' Skill Development / Learning', ' Work Life Balance']",['nan']
3074,Subway,4.1,686,0,36,Hospitality,1.0,59,Milford,"['Skill Development / Learning', ' Company Culture', ' Work Satisfaction']",['nan']
3075,Confidence Petroleum India,3.3,1300,15,13,Oil & Gas,501.0,27,Nagpur,['nan'],"['Promotions / Appraisal', ' Job Security', ' Salary & Benefits']"
3076,Hygienic Research Institute,4.4,1000,1,41,Beauty & Personal Care,1.0,67,Mumbai,"['Work Life Balance', ' Job Security', ' Company Culture']",['nan']
